,object_rise,object_set,moon_near,moon_leave
M1,-1,-1,-1,-1
M2,223,448,-1,-1
M3,0,386,0,67
M4,0,431,0,448
M5,0,437,0,448
M6,79,448,0,448
M7,105,448,0,448
M8,73,448,0,448
M9,11,448,0,448
M10,0,448,0,448
M11,72,448,0,448
M12,0,448,0,448
M13,0,448,-1,-1
M14,0,448,0,448
M15,196,448,-1,-1
M16,57,448,0,448
M17,66,448,0,448
M18,67,448,0,448
M19,18,448,0,448
M20,67,448,0,448
M21,68,448,0,448
M22,104,448,0,448
M23,49,448,0,448
M24,69,448,0,448
M25,85,448,0,448
M26,73,448,0,448
M27,88,448,-1,-1
M28,95,448,0,448
M29,84,448,-1,-1
M30,284,448,-1,-1
M31,337,448,-1,-1
M32,338,448,-1,-1
M33,408,448,-1,-1
M34,-1,-1,-1,-1
M35,-1,-1,-1,-1
M36,-1,-1,-1,-1
M37,-1,-1,-1,-1
M38,-1,-1,-1,-1
M39,132,448,-1,-1
M40,0,371,-1,-1
M41,-1,-1,-1,-1
M42,-1,-1,-1,-1
M43,-1,-1,-1,-1
M44,0,71,-1,-1
M45,-1,-1,-1,-1
M46,-1,-1,-1,-1
M47,-1,-1,-1,-1
M48,-1,-1,-1,-1
M49,0,280,0,379
M50,-1,-1,-1,-1
M51,0,410,-1,-1
M52,204,448,-1,-1
M53,0,340,0,448
M54,146,448,0,448
M55,193,448,0,448
M56,32,448,-1,-1
M57,4,448,-1,-1
M58,0,294,0,287
M59,0,298,0,430
M60,0,300,0,448
M61,0,265,0,410
M62,32,448,0,448
M63,0,385,-1,-1
M64,0,330,-1,-1
M65,0,218,-1,-1
M66,0,219,-1,-1
M67,0,68,-1,-1
M68,0,206,0,448
M69,131,448,0,448
M70,142,448,0,448
M71,88,448,-1,-1
M72,208,448,-1,-1
M73,214,448,-1,-1
M74,436,448,-1,-1
M75,187,448,0,448
M76,374,448,-1,-1
M77,-1,-1,-1,-1
M78,-1,-1,-1,-1
M79,-1,-1,-1,-1
M80,0,436,0,448
M81,0,277,-1,-1
M82,0,281,-1,-1
M83,0,251,0,448
M84,0,283,-1,-1
M85,0,293,-1,-1
M86,0,285,-1,-1
M87,0,288,0,21
M88,0,293,-1,-1
M89,0,293,0,151
M90,0,296,0,126
M91,0,296,-1,-1
M92,0,448,-1,-1
M93,-1,-1,-1,-1
M94,0,358,-1,-1
M95,0,181,-1,-1
M96,0,184,-1,-1
M97,0,295,-1,-1
M98,0,276,-1,-1
M99,0,280,-1,-1
M100,0,286,-1,-1
M101,0,448,-1,-1
M102,0,448,-1,-1
M103,337,448,-1,-1
M104,0,250,0,448
M105,0,186,-1,-1
M106,0,339,-1,-1
M107,0,448,0,448
M108,0,293,-1,-1
M109,0,333,-1,-1
M110,334,448,-1,-1
